label_id,text,prefix_key,suffix_key,background_color,text_color,created_at,updated_at,project_id
20,Facts,,,#3d2472,#ffffff,2020-05-19 21:17:40.829476+00,2020-05-19 21:17:40.829511+00,14
21,Issue,,,#71f985,#000000,2020-05-19 21:17:46.668056+00,2020-05-19 21:17:46.668089+00,14
22,Rule/Law/Holding,,,#d44318,#ffffff,2020-05-19 21:17:54.118282+00,2020-05-19 21:17:54.118309+00,14
23,Analysis,,,#deb068,#000000,2020-05-19 21:18:00.873143+00,2020-05-19 21:18:00.873161+00,14
24,Conclusion,,,#efdbb4,#000000,2020-05-19 21:18:21.71785+00,2020-05-19 21:18:21.717878+00,14
25,Others,,,#714838,#ffffff,2020-05-19 21:18:33.439753+00,2020-05-19 21:18:33.439781+00,14
26,Invalid sentences,,,#d5563d,#ffffff,2020-05-19 21:18:39.752947+00,2020-05-19 21:18:39.752968+00,14
39,Facts,,,#b7c356,#000000,2020-05-20 23:49:18.600064+00,2020-05-20 23:49:18.600091+00,10
40,Issue,,,#8a2458,#ffffff,2020-05-20 23:49:25.745232+00,2020-05-20 23:49:25.745272+00,10
41,Rule/Law/Holding,,,#17459e,#ffffff,2020-05-20 23:49:32.22701+00,2020-05-20 23:49:32.227059+00,10
42,Analysis,,,#171baa,#ffffff,2020-05-20 23:49:39.071494+00,2020-05-20 23:49:39.071541+00,10
43,Conclusion,,,#43f336,#000000,2020-05-20 23:49:46.655244+00,2020-05-20 23:49:46.655291+00,10
44,Others,,,#57e00b,#000000,2020-05-20 23:49:55.697971+00,2020-05-20 23:49:55.698017+00,10
45,Invalid sentences,,,#3117ae,#ffffff,2020-05-20 23:50:02.078602+00,2020-05-20 23:50:02.078672+00,10
46,Facts,,,#f54f05,#ffffff,2020-05-20 23:50:37.438271+00,2020-05-20 23:50:37.438303+00,11
47,Issue,,,#f9d5f6,#000000,2020-05-20 23:50:44.611237+00,2020-05-20 23:50:44.611265+00,11
48,Rule/Law/Holding,,,#15cd56,#000000,2020-05-20 23:50:53.819598+00,2020-05-20 23:50:53.81964+00,11
49,Analysis,,,#8bb2ec,#000000,2020-05-20 23:51:00.838122+00,2020-05-20 23:51:00.838151+00,11
50,Conclusion,,,#d69ac9,#000000,2020-05-20 23:51:07.347433+00,2020-05-20 23:51:07.347462+00,11
51,Others,,,#7b7ce9,#000000,2020-05-20 23:51:14.019727+00,2020-05-20 23:51:14.019755+00,11
52,Invalid sentences,,,#e0c539,#000000,2020-05-20 23:51:20.909081+00,2020-05-20 23:51:20.909113+00,11
53,Facts,,,#26bf3f,#000000,2020-05-20 23:52:07.669238+00,2020-05-20 23:52:07.669264+00,12
54,Issue,,,#e5560a,#ffffff,2020-05-20 23:52:14.207119+00,2020-05-20 23:52:14.207145+00,12
55,Rule/Law/Holding,,,#c12157,#ffffff,2020-05-20 23:52:22.879718+00,2020-05-20 23:52:22.879744+00,12
56,Analysis,,,#d8ff8b,#000000,2020-05-20 23:52:29.884411+00,2020-05-20 23:52:29.884434+00,12
57,Conclusion,,,#2d2b20,#ffffff,2020-05-20 23:52:38.064994+00,2020-05-20 23:52:38.065021+00,12
58,Others,,,#96215c,#ffffff,2020-05-20 23:52:45.833837+00,2020-05-20 23:52:45.833908+00,12
59,Invalid sentences,,,#5e3abb,#ffffff,2020-05-20 23:52:53.092692+00,2020-05-20 23:52:53.092734+00,12
60,Facts,,,#5f805b,#ffffff,2020-05-20 23:53:41.557677+00,2020-05-20 23:53:41.557695+00,13
61,Issue,,,#144e97,#ffffff,2020-05-20 23:53:47.706585+00,2020-05-20 23:53:47.706606+00,13
62,Rule/Law/Holding,,,#e15c9e,#000000,2020-05-20 23:53:53.606346+00,2020-05-20 23:53:53.606369+00,13
63,Analysis,,,#4311e3,#ffffff,2020-05-20 23:54:00.413837+00,2020-05-20 23:54:00.413857+00,13
64,Conclusion,,,#0022f5,#ffffff,2020-05-20 23:54:07.257585+00,2020-05-20 23:54:07.257605+00,13
65,Others,,,#71268b,#ffffff,2020-05-20 23:54:13.713892+00,2020-05-20 23:54:13.713911+00,13
66,Invalid sentences,,,#74d85b,#000000,2020-05-20 23:54:20.578671+00,2020-05-20 23:54:20.578689+00,13
68,Facts,,,#8283ff,#000000,2020-05-20 23:55:00.405937+00,2020-05-20 23:55:00.405958+00,15
69,Issue,,,#46c500,#000000,2020-05-20 23:55:06.755043+00,2020-05-20 23:55:06.755062+00,15
70,Rule/Law/Holding,,,#a53f18,#ffffff,2020-05-20 23:55:13.467578+00,2020-05-20 23:55:13.467623+00,15
71,Analysis,,,#292a1b,#ffffff,2020-05-20 23:55:19.214283+00,2020-05-20 23:55:19.214303+00,15
72,Conclusion,,,#aeb5e3,#000000,2020-05-20 23:55:27.216984+00,2020-05-20 23:55:27.217002+00,15
73,Others,,,#223c9f,#ffffff,2020-05-20 23:55:35.987382+00,2020-05-20 23:55:35.987423+00,15
74,Invalid sentences,,,#ad717b,#000000,2020-05-20 23:55:44.403019+00,2020-05-20 23:55:44.403043+00,15
75,Facts,,,#a58a54,#000000,2020-05-20 23:56:22.547243+00,2020-05-20 23:56:22.547288+00,16
76,Issue,,,#89b51e,#000000,2020-05-20 23:56:30.330982+00,2020-05-20 23:56:30.331025+00,16
77,Rule/Law/Holding,,,#9f9514,#000000,2020-05-20 23:56:36.519335+00,2020-05-20 23:56:36.51936+00,16
78,Analysis,,,#dce044,#000000,2020-05-20 23:56:42.779666+00,2020-05-20 23:56:42.779684+00,16
79,Conclusion,,,#a7412b,#ffffff,2020-05-20 23:56:48.828849+00,2020-05-20 23:56:48.828867+00,16
80,Others,,,#b7bd00,#000000,2020-05-20 23:56:54.803485+00,2020-05-20 23:56:54.803518+00,16
81,Invalid sentences,,,#38a80a,#ffffff,2020-05-20 23:57:00.968254+00,2020-05-20 23:57:00.968275+00,16
82,Facts,,,#38b40a,#ffffff,2020-05-20 23:57:18.11807+00,2020-05-20 23:57:18.118109+00,20
83,Issue,,,#de8214,#000000,2020-05-20 23:57:22.961034+00,2020-05-20 23:57:22.961053+00,20
84,Rule/Law/Holding,,,#89c77c,#000000,2020-05-20 23:57:28.024828+00,2020-05-20 23:57:28.024849+00,20
85,Analysis,,,#b14503,#ffffff,2020-05-20 23:57:33.199873+00,2020-05-20 23:57:33.199893+00,20
86,Conclusion,,,#80d0cc,#000000,2020-05-20 23:57:39.925332+00,2020-05-20 23:57:39.925351+00,20
87,Others,,,#ca60b5,#000000,2020-05-20 23:57:46.235206+00,2020-05-20 23:57:46.235225+00,20
88,Invalid sentences,,,#8bc1fc,#000000,2020-05-20 23:57:53.35584+00,2020-05-20 23:57:53.35586+00,20
89,Facts,,,#4f27b6,#ffffff,2020-05-20 23:58:20.321575+00,2020-05-20 23:58:20.3216+00,19
90,Issue,,,#6acea8,#000000,2020-05-20 23:58:27.427267+00,2020-05-20 23:58:27.427294+00,19
91,Rule/Law/Holding,,,#127a00,#ffffff,2020-05-20 23:58:33.2342+00,2020-05-20 23:58:33.234234+00,19
92,Analysis,,,#6f4acb,#ffffff,2020-05-20 23:58:38.965809+00,2020-05-20 23:58:38.965862+00,19
93,Conclusion,,,#c002ce,#ffffff,2020-05-20 23:58:45.059329+00,2020-05-20 23:58:45.059356+00,19
94,Others,,,#9dc4d7,#000000,2020-05-20 23:58:51.5235+00,2020-05-20 23:58:51.523535+00,19
95,Invalid sentences,,,#dad7e4,#000000,2020-05-20 23:58:57.521486+00,2020-05-20 23:58:57.521506+00,19
96,Facts,,,#e2aac6,#000000,2020-05-20 23:59:18.771268+00,2020-05-20 23:59:18.771286+00,18
97,Issue,,,#3887bc,#ffffff,2020-05-20 23:59:24.752522+00,2020-05-20 23:59:24.75255+00,18
98,Rule/Law/Holding,,,#c2e11f,#000000,2020-05-20 23:59:32.071073+00,2020-05-20 23:59:32.071092+00,18
99,Analysis,,,#30e1dd,#000000,2020-05-20 23:59:39.072535+00,2020-05-20 23:59:39.072554+00,18
100,Conclusion,,,#1c919f,#ffffff,2020-05-20 23:59:45.653387+00,2020-05-20 23:59:45.653421+00,18
101,Others,,,#8e739c,#ffffff,2020-05-20 23:59:51.707109+00,2020-05-20 23:59:51.707129+00,18
102,Invalid sentences,,,#f38d57,#000000,2020-05-20 23:59:57.272799+00,2020-05-20 23:59:57.272817+00,18
103,Facts,,,#0a9674,#ffffff,2020-05-21 00:00:14.306421+00,2020-05-21 00:00:14.306458+00,17
104,Issue,,,#c0d1b5,#000000,2020-05-21 00:00:20.47819+00,2020-05-21 00:00:20.478216+00,17
105,Rule/Law/Holding,,,#d1549b,#000000,2020-05-21 00:00:27.13107+00,2020-05-21 00:00:27.131117+00,17
106,Analysis,,,#3baa9e,#000000,2020-05-21 00:00:34.065113+00,2020-05-21 00:00:34.065135+00,17
107,Conclusion,,,#5d0927,#ffffff,2020-05-21 00:00:40.199686+00,2020-05-21 00:00:40.199719+00,17
108,Others,,,#09bc5e,#ffffff,2020-05-21 00:00:45.883547+00,2020-05-21 00:00:45.883567+00,17
109,Invalid sentences,,,#0087e6,#ffffff,2020-05-21 00:00:51.879177+00,2020-05-21 00:00:51.879199+00,17
